time,count
12:27:40,87
12:27:41,91
12:27:42,91
12:27:43,82
12:27:44,76
12:27:45,98
12:27:46,87
12:27:47,91
12:27:48,103
12:27:49,79
12:27:50,110
12:27:51,88
12:27:52,85
12:27:53,93
12:27:54,75
12:27:55,90
12:27:56,94
12:27:57,112
12:27:58,101
12:27:59,86
12:28:00,74
12:28:01,85
12:28:02,91
12:28:03,73
12:28:04,89
12:28:05,122
12:28:06,95
12:28:07,81
12:28:08,88
12:28:09,92
12:28:10,85
12:28:11,92
12:28:12,88
12:28:13,87
12:28:14,91
12:28:15,76
12:28:16,73
12:28:17,78
12:28:18,101
12:28:19,82
12:28:20,102
12:28:21,93
12:28:22,87
12:28:23,103
12:28:24,116
12:28:25,90
12:28:26,102
12:28:27,98
12:28:28,103
12:28:29,90
12:28:30,102
12:28:31,82
12:28:32,81
12:28:33,98
12:28:34,79
12:28:35,87
12:28:36,93
12:28:37,82
12:28:38,90
12:28:39,80
12:28:40,102
12:28:41,88
12:28:42,78
12:28:43,79
12:28:44,101
12:28:45,84
12:28:46,88
12:28:47,96
12:28:48,77
12:28:49,87
12:28:50,97
12:28:51,86
12:28:52,85
12:28:53,68
12:28:54,103
12:28:55,90
12:28:56,105
12:28:57,78
12:28:58,108
12:28:59,73
12:29:00,93
12:29:01,91
12:29:02,74
12:29:03,90
12:29:04,74
12:29:05,96
12:29:06,89
12:29:07,82
12:29:08,90
12:29:09,95
12:29:10,89
12:29:11,103
12:29:12,92
12:29:13,82
12:29:14,91
12:29:15,99
12:29:16,70
12:29:17,84
12:29:18,91
12:29:19,90
12:29:20,88
12:29:21,90
12:29:22,96
12:29:23,107
12:29:24,84
12:29:25,87
12:29:26,83
12:29:27,93
12:29:28,93
12:29:29,89
12:29:30,84
12:29:31,84
12:29:32,78
12:29:33,95
12:29:34,65
12:29:35,65
12:29:36,109
12:29:37,102
12:29:38,101
12:29:39,108
12:29:40,72
12:29:41,98
12:29:42,89
12:29:43,70
12:29:44,85
12:29:45,93
12:29:46,93
12:29:47,102
12:29:48,86
12:29:49,95
12:29:50,77
12:29:51,103
12:29:52,90
12:29:53,86
12:29:54,109
12:29:55,90
12:29:56,82
12:29:57,103
12:29:58,97
12:29:59,88
12:30:00,101
12:30:01,100
12:30:02,102
12:30:03,114
12:30:04,120
12:30:05,105
12:30:06,95
12:30:07,89
12:30:08,87
12:30:09,77
12:30:10,93
12:30:11,92
12:30:12,73
12:30:13,81
12:30:14,101
12:30:15,84
12:30:16,92
12:30:17,81
12:30:18,95
12:30:19,91
12:30:20,88
12:30:21,97
12:30:22,77
12:30:23,96
12:30:24,86
12:30:25,89
12:30:26,91
12:30:27,89
12:30:28,81
12:30:29,95
12:30:30,93
12:30:31,85
12:30:32,97
12:30:33,72
12:30:34,103
12:30:35,86
12:30:36,90
12:30:37,122
12:30:38,104
12:30:39,87
12:30:40,108
12:30:41,85
12:30:42,92
12:30:43,92
12:30:44,80
12:30:45,99
12:30:46,86
12:30:47,91
12:30:48,96
12:30:49,83
12:30:50,87
12:30:51,76
12:30:52,87
12:30:53,90
12:30:54,96
12:30:55,96
12:30:56,93
12:30:57,98
12:30:58,103
12:30:59,87
12:31:00,88
12:31:01,80
12:31:02,97
12:31:03,105
12:31:04,88
12:31:05,90
12:31:06,106
12:31:07,99
12:31:08,85
12:31:09,86
12:31:10,93
12:31:11,98
12:31:12,77
12:31:13,100
12:31:14,90
12:31:15,87
12:31:16,92
12:31:17,85
12:31:18,91
12:31:19,88
12:31:20,95
12:31:21,72
12:31:22,95
12:31:23,95
12:31:24,77
12:31:25,86
12:31:26,82
12:31:27,84
12:31:28,94
12:31:29,84
12:31:30,87
12:31:31,82
12:31:32,95
12:31:33,110
12:31:34,86
12:31:35,71
12:31:36,80
12:31:37,91
12:31:38,80
12:31:39,86
12:31:40,108
12:31:41,74
12:31:42,85
12:31:43,85
12:31:44,78
12:31:45,71
12:31:46,75
12:31:47,94
12:31:48,80
12:31:49,86
12:31:50,89
12:31:51,95
12:31:52,92
12:31:53,92
12:31:54,86
12:31:55,96
12:31:56,94
12:31:57,100
12:31:58,81
12:31:59,88
12:32:00,94
12:32:01,72
12:32:02,95
12:32:03,94
12:32:04,96
12:32:05,86
12:32:06,93
12:32:07,106
12:32:08,78
12:32:09,88
12:32:10,85
12:32:11,83
12:32:12,91
12:32:13,99
12:32:14,96
12:32:15,98
12:32:16,101
12:32:17,88
12:32:18,96
12:32:19,89
12:32:20,78
12:32:21,94
12:32:22,95
12:32:23,63
12:32:24,76
12:32:25,94
12:32:26,80
12:32:27,116
12:32:28,78
12:32:29,95
12:32:30,87
12:32:31,85
12:32:32,98
12:32:33,90
12:32:34,74
12:32:35,88
12:32:36,83
12:32:37,99
12:32:38,88
12:32:39,74
12:32:40,112
12:32:41,107
12:32:42,79
12:32:43,92
12:32:44,89
12:32:45,102
12:32:46,92
12:32:47,90
12:32:48,83
12:32:49,82
12:32:50,102
12:32:51,92
12:32:52,71
12:32:53,73
12:32:54,107
12:32:55,97
12:32:56,90
12:32:57,102
12:32:58,106
12:32:59,81
12:33:00,88
12:33:01,92
12:33:02,96
12:33:03,76
12:33:04,94
12:33:05,78
12:33:06,87
12:33:07,89
12:33:08,80
12:33:09,94
12:33:10,98
12:33:11,98
12:33:12,77
12:33:13,83
12:33:14,85
12:33:15,79
